phase,target,model,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2
baseline_phase10,target_scope_1_log,RandomForest,1.2472053433672543,1.567985650155687,0.6226270860565257,1.0688288458597255,1.4222840682301596,0.4827350820877351
baseline_phase10,target_scope_1_log,CatBoost,1.3131875738948362,1.628339054036482,0.5930170307807028,0.9974671012823876,1.3222016381307342,0.5529709816527449
baseline_phase10,target_scope_1_log,XGBoost,1.217163663504235,1.5254917163271782,0.6428042646393424,1.1190433131526538,1.4737683416616758,0.4446090736928958
baseline_phase10,target_scope_1_log,ElasticNet,1.4015553439374644,1.810697378215964,0.496756350425442,1.09639589165131,1.4212328620719699,0.48349941761880644
baseline_phase10,target_scope_2_log,RandomForest,1.846171128543818,2.4012411680734647,0.26968886673790293,1.3803836307910893,1.942255481981435,0.36672533478756075
baseline_phase10,target_scope_2_log,CatBoost,1.7624062029477081,2.4135570095132683,0.2621781992260107,1.475708628850372,2.0167390289011737,0.3172231175830478
baseline_phase10,target_scope_2_log,XGBoost,1.8272931575413938,2.532759525684159,0.18749830601465345,1.4704218125567308,2.010124502335196,0.3216945336088568
baseline_phase10,target_scope_2_log,ElasticNet,1.5819349027352057,2.0429787249266846,0.4713550981142851,1.3053877820752526,1.8684745649898293,0.4139242084701963
tuned_scope1_phase10,target_scope_1_log,RandomForest,1.3018104322122217,1.604952202668756,0.6046235806336903,1.0491901330870852,1.379334812804926,0.5135034902985265
tuned_scope1_phase10,target_scope_1_log,XGBoost,1.196746000485083,1.5078601396649416,0.6510134582239387,1.0639697263436316,1.3920816221268892,0.5044702490010655
tuned_scope1_phase10,target_scope_1_log,CatBoost,1.3755219701609276,1.6659346078708166,0.5740070044357457,1.0085872488447882,1.3414590933038142,0.5398544763910039
tuned_scope1_phase10,target_scope_1_log,ElasticNet,1.4142051519843724,1.8215918737903103,0.4906823599000264,1.1058820961539386,1.420627796714412,0.48393910641804483
tuned_scope2_phase10,target_scope_2_log,RandomForest,1.7844968673666988,2.3588859304744476,0.2952254054457656,1.4134903234975056,2.027037638124612,0.3102320235515047
tuned_scope2_phase10,target_scope_2_log,XGBoost,1.8113023109248465,2.469124627887961,0.22781318311874377,1.4090733572989276,1.895053472469874,0.3971318505145207
tuned_scope2_phase10,target_scope_2_log,CatBoost,1.7776114923387394,2.333351002492954,0.3104011822698185,1.4155328077744929,2.012936300973804,0.3197955543779022
tuned_scope2_phase10,target_scope_2_log,ElasticNet,1.5958968438815904,2.0462536778834584,0.4696588740521811,1.2851568350284066,1.8497123007402232,0.42563525921750145
